10: [-49, 16, 29, -11, 39, 6, -12, 6, 6, 32]
10: [-41, 16, 29, -11, 39, 6, -12, 6, 6, 32]
10: [-49, -41, 29, -11, 39, 6, -12, 6, 6, 32]
10: [-49, 16, -41, -11, 39, 6, -12, 6, 6, 32]
10: [-49, 16, 29, -41, 39, 6, -12, 6, 6, 32]
10: [-49, 16, 29, -11, -41, 6, -12, 6, 6, 32]
10: [-49, 16, 29, -11, 39, -41, -12, 6, 6, 32]
10: [-49, 16, 29, -11, 39, 6, -41, 6, 6, 32]
10: [-49, 16, 29, -11, 39, 6, -12, -41, 6, 32]
10: [-49, 16, 29, -11, 39, 6, -12, 6, -41, 32]
10: [-49, 16, 29, -11, 39, 6, -12, 6, 6, -41]
10: [-41, 45, 29, -11, 39, 6, -12, 6, 6, 32]
10: [-41, 16, 45, -11, 39, 6, -12, 6, 6, 32]
10: [-41, 16, 29, 45, 39, 6, -12, 6, 6, 32]
10: [-41, 16, 29, -11, 45, 6, -12, 6, 6, 32]
10: [-41, 16, 29, -11, 39, 45, -12, 6, 6, 32]
10: [-41, 16, 29, -11, 39, 6, 45, 6, 6, 32]
10: [-41, 16, 29, -11, 39, 6, -12, 45, 6, 32]
10: [-41, 16, 29, -11, 39, 6, -12, 6, 45, 32]
10: [-41, 16, 29, -11, 39, 6, -12, 6, 6, 45]
10: [45, -41, 29, -11, 39, 6, -12, 6, 6, 32]
10: [-49, -41, 45, -11, 39, 6, -12, 6, 6, 32]
10: [-49, -41, 29, 45, 39, 6, -12, 6, 6, 32]
10: [-49, -41, 29, -11, 45, 6, -12, 6, 6, 32]
10: [-49, -41, 29, -11, 39, 45, -12, 6, 6, 32]
10: [-49, -41, 29, -11, 39, 6, 45, 6, 6, 32]
10: [-49, -41, 29, -11, 39, 6, -12, 45, 6, 32]
10: [-49, -41, 29, -11, 39, 6, -12, 6, 45, 32]
10: [-49, -41, 29, -11, 39, 6, -12, 6, 6, 45]
10: [45, 16, -41, -11, 39, 6, -12, 6, 6, 32]
10: [-49, 45, -41, -11, 39, 6, -12, 6, 6, 32]
10: [-49, 16, -41, 45, 39, 6, -12, 6, 6, 32]
10: [-49, 16, -41, -11, 45, 6, -12, 6, 6, 32]
10: [-49, 16, -41, -11, 39, 45, -12, 6, 6, 32]
10: [-49, 16, -41, -11, 39, 6, 45, 6, 6, 32]
10: [-49, 16, -41, -11, 39, 6, -12, 45, 6, 32]
10: [-49, 16, -41, -11, 39, 6, -12, 6, 45, 32]
10: [-49, 16, -41, -11, 39, 6, -12, 6, 6, 45]
10: [45, 16, 29, -41, 39, 6, -12, 6, 6, 32]
10: [-49, 45, 29, -41, 39, 6, -12, 6, 6, 32]
10: [-49, 16, 45, -41, 39, 6, -12, 6, 6, 32]
10: [-49, 16, 29, -41, 45, 6, -12, 6, 6, 32]
10: [-49, 16, 29, -41, 39, 45, -12, 6, 6, 32]
10: [-49, 16, 29, -41, 39, 6, 45, 6, 6, 32]
10: [-49, 16, 29, -41, 39, 6, -12, 45, 6, 32]
10: [-49, 16, 29, -41, 39, 6, -12, 6, 45, 32]
10: [-49, 16, 29, -41, 39, 6, -12, 6, 6, 45]
10: [45, 16, 29, -11, -41, 6, -12, 6, 6, 32]
10: [-49, 45, 29, -11, -41, 6, -12, 6, 6, 32]
10: [-49, 16, 45, -11, -41, 6, -12, 6, 6, 32]
10: [-49, 16, 29, 45, -41, 6, -12, 6, 6, 32]
10: [-49, 16, 29, -11, -41, 45, -12, 6, 6, 32]
10: [-49, 16, 29, -11, -41, 6, 45, 6, 6, 32]
10: [-49, 16, 29, -11, -41, 6, -12, 45, 6, 32]
10: [-49, 16, 29, -11, -41, 6, -12, 6, 45, 32]
10: [-49, 16, 29, -11, -41, 6, -12, 6, 6, 45]
10: [45, 16, 29, -11, 39, -41, -12, 6, 6, 32]
10: [-49, 45, 29, -11, 39, -41, -12, 6, 6, 32]
10: [-49, 16, 45, -11, 39, -41, -12, 6, 6, 32]
10: [-49, 16, 29, 45, 39, -41, -12, 6, 6, 32]
10: [-49, 16, 29, -11, 45, -41, -12, 6, 6, 32]
10: [-49, 16, 29, -11, 39, -41, 45, 6, 6, 32]
10: [-49, 16, 29, -11, 39, -41, -12, 45, 6, 32]
10: [-49, 16, 29, -11, 39, -41, -12, 6, 45, 32]
10: [-49, 16, 29, -11, 39, -41, -12, 6, 6, 45]
10: [45, 16, 29, -11, 39, 6, -41, 6, 6, 32]
10: [-49, 45, 29, -11, 39, 6, -41, 6, 6, 32]
10: [-49, 16, 45, -11, 39, 6, -41, 6, 6, 32]
10: [-49, 16, 29, 45, 39, 6, -41, 6, 6, 32]
10: [-49, 16, 29, -11, 45, 6, -41, 6, 6, 32]
10: [-49, 16, 29, -11, 39, 45, -41, 6, 6, 32]
10: [-49, 16, 29, -11, 39, 6, -41, 45, 6, 32]
10: [-49, 16, 29, -11, 39, 6, -41, 6, 45, 32]
10: [-49, 16, 29, -11, 39, 6, -41, 6, 6, 45]
10: [45, 16, 29, -11, 39, 6, -12, -41, 6, 32]
10: [-49, 45, 29, -11, 39, 6, -12, -41, 6, 32]
10: [-49, 16, 45, -11, 39, 6, -12, -41, 6, 32]
10: [-49, 16, 29, 45, 39, 6, -12, -41, 6, 32]
10: [-49, 16, 29, -11, 45, 6, -12, -41, 6, 32]
10: [-49, 16, 29, -11, 39, 45, -12, -41, 6, 32]
10: [-49, 16, 29, -11, 39, 6, 45, -41, 6, 32]
10: [-49, 16, 29, -11, 39, 6, -12, -41, 45, 32]
10: [-49, 16, 29, -11, 39, 6, -12, -41, 6, 45]
10: [45, 16, 29, -11, 39, 6, -12, 6, -41, 32]
10: [-49, 45, 29, -11, 39, 6, -12, 6, -41, 32]
10: [-49, 16, 45, -11, 39, 6, -12, 6, -41, 32]
10: [-49, 16, 29, 45, 39, 6, -12, 6, -41, 32]
10: [-49, 16, 29, -11, 45, 6, -12, 6, -41, 32]
10: [-49, 16, 29, -11, 39, 45, -12, 6, -41, 32]
10: [-49, 16, 29, -11, 39, 6, 45, 6, -41, 32]
10: [-49, 16, 29, -11, 39, 6, -12, 45, -41, 32]
10: [-49, 16, 29, -11, 39, 6, -12, 6, -41, 45]
10: [45, 16, 29, -11, 39, 6, -12, 6, 6, -41]
10: [-49, 45, 29, -11, 39, 6, -12, 6, 6, -41]
10: [-49, 16, 45, -11, 39, 6, -12, 6, 6, -41]
10: [-49, 16, 29, 45, 39, 6, -12, 6, 6, -41]
10: [-49, 16, 29, -11, 45, 6, -12, 6, 6, -41]
10: [-49, 16, 29, -11, 39, 45, -12, 6, 6, -41]
10: [-49, 16, 29, -11, 39, 6, 45, 6, 6, -41]
10: [-49, 16, 29, -11, 39, 6, -12, 45, 6, -41]
10: [-49, 16, 29, -11, 39, 6, -12, 6, 45, -41]
10: [32, -21, -5, 47, -34, 14, 48, -47, -5, -19]
10: [-21, -21, -5, 47, -34, 14, 48, -47, -5, -19]
10: [32, -21, -5, 47, -34, 14, 48, -47, -5, -19]
10: [32, -21, -21, 47, -34, 14, 48, -47, -5, -19]
10: [32, -21, -5, -21, -34, 14, 48, -47, -5, -19]
10: [32, -21, -5, 47, -21, 14, 48, -47, -5, -19]
10: [32, -21, -5, 47, -34, -21, 48, -47, -5, -19]
10: [32, -21, -5, 47, -34, 14, -21, -47, -5, -19]
10: [32, -21, -5, 47, -34, 14, 48, -21, -5, -19]
10: [32, -21, -5, 47, -34, 14, 48, -47, -21, -19]
10: [32, -21, -5, 47, -34, 14, 48, -47, -5, -21]
10: [-21, -7, -5, 47, -34, 14, 48, -47, -5, -19]
10: [-21, -21, -7, 47, -34, 14, 48, -47, -5, -19]
10: [-21, -21, -5, -7, -34, 14, 48, -47, -5, -19]
10: [-21, -21, -5, 47, -7, 14, 48, -47, -5, -19]
10: [-21, -21, -5, 47, -34, -7, 48, -47, -5, -19]
10: [-21, -21, -5, 47, -34, 14, -7, -47, -5, -19]
10: [-21, -21, -5, 47, -34, 14, 48, -7, -5, -19]
10: [-21, -21, -5, 47, -34, 14, 48, -47, -7, -19]
10: [-21, -21, -5, 47, -34, 14, 48, -47, -5, -7]
10: [-7, -21, -5, 47, -34, 14, 48, -47, -5, -19]
10: [32, -21, -7, 47, -34, 14, 48, -47, -5, -19]
10: [32, -21, -5, -7, -34, 14, 48, -47, -5, -19]
10: [32, -21, -5, 47, -7, 14, 48, -47, -5, -19]
10: [32, -21, -5, 47, -34, -7, 48, -47, -5, -19]
10: [32, -21, -5, 47, -34, 14, -7, -47, -5, -19]
10: [32, -21, -5, 47, -34, 14, 48, -7, -5, -19]
10: [32, -21, -5, 47, -34, 14, 48, -47, -7, -19]
10: [32, -21, -5, 47, -34, 14, 48, -47, -5, -7]
10: [-7, -21, -21, 47, -34, 14, 48, -47, -5, -19]
10: [32, -7, -21, 47, -34, 14, 48, -47, -5, -19]
10: [32, -21, -21, -7, -34, 14, 48, -47, -5, -19]
10: [32, -21, -21, 47, -7, 14, 48, -47, -5, -19]
10: [32, -21, -21, 47, -34, -7, 48, -47, -5, -19]
10: [32, -21, -21, 47, -34, 14, -7, -47, -5, -19]
